value range: [0.456911,1]
distance matrix with 1003 points, using threshold at enclosing radius 0.788447
persistent homology intervals in dim 0:
 [0,0.456911):  {[105], [500]}
 [0,0.47595):  {[274], [995]}
 [0,0.47802):  {[25], [214]}
 [0,0.480105):  {[31], [576]}
 [0,0.482584):  {[576], [892]}
 [0,0.484125):  {[284], [907]}
 [0,0.48465):  {[21], [576]}
 [0,0.485426):  {[326], [576]}
 [0,0.485901):  {[123], [695]}
 [0,0.486613):  {[126], [927]}
 [0,0.486616):  {[576], [914]}
 [0,0.488151):  {[114], [209]}
 [0,0.48989):  {[214], [777]}
 [0,0.48992):  {[214], [576]}
 [0,0.490105):  {[248], [346]}
 [0,0.490317):  {[500], [149]}
 [0,0.490373):  {[4], [698]}
 [0,0.492467):  {[576], [712]}
 [0,0.492627):  {[500], [728]}
 [0,0.492891):  {[576], [467]}
 [0,0.493121):  {[907], [589]}
 [0,0.493193):  {[576], [406]}
 [0,0.493329):  {[310], [526]}
 [0,0.495195):  {[576], [180]}
 [0,0.495222):  {[576], [907]}
 [0,0.495729):  {[576], [266]}
 [0,0.495788):  {[291], [576]}
 [0,0.495862):  {[790], [927]}
 [0,0.496155):  {[456], [576]}
 [0,0.496358):  {[12], [576]}
 [0,0.49645):  {[27], [215]}
 [0,0.497708):  {[500], [995]}
 [0,0.49779):  {[346], [714]}
 [0,0.498126):  {[576], [622]}
 [0,0.498524):  {[235], [895]}
 [0,0.499059):  {[253], [576]}
 [0,0.499264):  {[37], [576]}
 [0,0.499504):  {[995], [346]}
 [0,0.499548):  {[87], [576]}
 [0,0.49975):  {[54], [576]}
 [0,0.499756):  {[596], [927]}
 [0,0.499841):  {[103], [945]}
 [0,0.500188):  {[576], [558]}
 [0,0.500247):  {[576], [698]}
 [0,0.500527):  {[775], [927]}
 [0,0.500739):  {[527], [805]}
 [0,0.501081):  {[576], [548]}
 [0,0.501181):  {[576], [419]}
 [0,0.501305):  {[576], [830]}
 [0,0.501807):  {[576], [208]}
 [0,0.501841):  {[576], [871]}
 [0,0.501848):  {[576], [864]}
 [0,0.502078):  {[576], [386]}
 [0,0.502199):  {[109], [576]}
 [0,0.503085):  {[872], [927]}
 [0,0.503191):  {[995], [927]}
 [0,0.50325):  {[184], [995]}
 [0,0.503445):  {[311], [995]}
 [0,0.503604):  {[215], [995]}
 [0,0.503669):  {[576], [995]}
 [0,0.504073):  {[995], [642]}
 [0,0.504115):  {[217], [995]}
 [0,0.50419):  {[232], [604]}
 [0,0.504322):  {[995], [963]}
 [0,0.504339):  {[995], [552]}
 [0,0.504489):  {[995], [675]}
 [0,0.504741):  {[425], [505]}
 [0,0.505213):  {[515], [995]}
 [0,0.505523):  {[995], [652]}
 [0,0.50563):  {[895], [995]}
 [0,0.506019):  {[995], [343]}
 [0,0.506072):  {[39], [995]}
 [0,0.506488):  {[995], [991]}
 [0,0.50659):  {[280], [995]}
 [0,0.506616):  {[995], [805]}
 [0,0.506721):  {[995], [128]}
 [0,0.506838):  {[995], [807]}
 [0,0.506883):  {[995], [460]}
 [0,0.506986):  {[995], [337]}
 [0,0.5074):  {[209], [995]}
 [0,0.508422):  {[995], [978]}
 [0,0.508464):  {[995], [925]}
 [0,0.508613):  {[104], [995]}
 [0,0.508858):  {[945], [605]}
 [0,0.508933):  {[995], [449]}
 [0,0.508951):  {[995], [351]}
 [0,0.509472):  {[364], [995]}
 [0,0.509527):  {[995], [804]}
 [0,0.510173):  {[826], [995]}
 [0,0.51028):  {[995], [722]}
 [0,0.510567):  {[995], [933]}
 [0,0.510585):  {[731], [995]}
 [0,0.51135):  {[81], [995]}
 [0,0.511569):  {[995], [505]}
 [0,0.511675):  {[138], [995]}
 [0,0.511732):  {[995], [808]}
 [0,0.511999):  {[791], [995]}
 [0,0.512051):  {[995], [788]}
 [0,0.512083):  {[995], [750]}
 [0,0.512095):  {[464], [995]}
 [0,0.512252):  {[302], [604]}
 [0,0.512388):  {[995], [738]}
 [0,0.512736):  {[995], [766]}
 [0,0.512817):  {[995], [287]}
 [0,0.512887):  {[176], [995]}
 [0,0.512921):  {[995], [175]}
 [0,0.513031):  {[44], [995]}
 [0,0.513261):  {[995], [400]}
 [0,0.513598):  {[995], [849]}
 [0,0.513861):  {[995], [303]}
 [0,0.51438):  {[278], [336]}
 [0,0.514517):  {[716], [995]}
 [0,0.514722):  {[995], [997]}
 [0,0.514847):  {[367], [995]}
 [0,0.515104):  {[995], [945]}
 [0,0.515151):  {[995], [277]}
 [0,0.515262):  {[528], [995]}
 [0,0.515306):  {[995], [695]}
 [0,0.515687):  {[995], [893]}
 [0,0.515787):  {[120], [995]}
 [0,0.515868):  {[995], [1002]}
 [0,0.515924):  {[378], [944]}
 [0,0.516152):  {[995], [336]}
 [0,0.516237):  {[499], [995]}
 [0,0.516368):  {[995], [832]}
 [0,0.516711):  {[772], [995]}
 [0,0.516771):  {[259], [995]}
 [0,0.517314):  {[604], [995]}
 [0,0.517367):  {[13], [995]}
 [0,0.517728):  {[275], [802]}
 [0,0.517777):  {[995], [776]}
 [0,0.517854):  {[211], [995]}
 [0,0.517944):  {[995], [655]}
 [0,0.518138):  {[490], [995]}
 [0,0.518252):  {[636], [995]}
 [0,0.518565):  {[10], [995]}
 [0,0.518595):  {[482], [995]}
 [0,0.518774):  {[995], [526]}
 [0,0.518829):  {[995], [944]}
 [0,0.51886):  {[995], [349]}
 [0,0.519428):  {[995], [713]}
 [0,0.519563):  {[631], [995]}
 [0,0.519776):  {[995], [166]}
 [0,0.519777):  {[899], [995]}
 [0,0.52041):  {[52], [995]}
 [0,0.520421):  {[617], [995]}
 [0,0.520438):  {[995], [852]}
 [0,0.520466):  {[263], [995]}
 [0,0.520726):  {[995], [629]}
 [0,0.520773):  {[1], [995]}
 [0,0.521027):  {[451], [995]}
 [0,0.521029):  {[995], [989]}
 [0,0.521037):  {[995], [83]}
 [0,0.52114):  {[352], [995]}
 [0,0.521199):  {[995], [268]}
 [0,0.521625):  {[86], [839]}
 [0,0.522297):  {[995], [843]}
 [0,0.522302):  {[995], [488]}
 [0,0.522314):  {[823], [995]}
 [0,0.522328):  {[995], [368]}
 [0,0.522947):  {[995], [838]}
 [0,0.523492):  {[995], [254]}
 [0,0.523567):  {[995], [402]}
 [0,0.523736):  {[608], [664]}
 [0,0.523876):  {[89], [995]}
 [0,0.523895):  {[132], [995]}
 [0,0.524046):  {[867], [995]}
 [0,0.524268):  {[995], [522]}
 [0,0.524298):  {[362], [995]}
 [0,0.524535):  {[802], [995]}
 [0,0.524758):  {[71], [995]}
 [0,0.525027):  {[267], [995]}
 [0,0.525594):  {[995], [928]}
 [0,0.5257):  {[995], [812]}
 [0,0.526004):  {[48], [995]}
 [0,0.526031):  {[511], [995]}
 [0,0.526099):  {[995], [338]}
 [0,0.526124):  {[995], [941]}
 [0,0.526224):  {[995], [748]}
 [0,0.526508):  {[203], [995]}
 [0,0.526521):  {[222], [962]}
 [0,0.526576):  {[995], [740]}
 [0,0.526774):  {[422], [995]}
 [0,0.526833):  {[995], [484]}
 [0,0.526869):  {[403], [995]}
 [0,0.527082):  {[995], [806]}
 [0,0.527116):  {[448], [995]}
 [0,0.527303):  {[532], [765]}
 [0,0.527493):  {[995], [426]}
 [0,0.527704):  {[995], [794]}
 [0,0.527896):  {[995], [1001]}
 [0,0.527897):  {[189], [995]}
 [0,0.527956):  {[995], [372]}
 [0,0.527961):  {[691], [995]}
 [0,0.528126):  {[995], [938]}
 [0,0.528307):  {[995], [143]}
 [0,0.528463):  {[304], [995]}
 [0,0.528671):  {[67], [995]}
 [0,0.52878):  {[142], [602]}
 [0,0.528795):  {[995], [441]}
 [0,0.528808):  {[995], [874]}
 [0,0.528922):  {[739], [995]}
 [0,0.52902):  {[995], [876]}
